"","evt","dataobs","cover","us_loading..Mg.ha","ms_loading..Mg.ha","os_loading..Mg.ha","tree_crown_loading..Mg.ha","tree_loading..Mg.ha","snag_loading..Mg.ha","shrub_loading..Mg.ha","herb_percentlive.","herb_loading..Mg.ha","X1hr_loading..Mg.ha","X10hr_loading..Mg.ha","X100hr_loading..Mg.ha","fwd_loading..Mg.ha","X1KhrS_loading..Mg.ha","X1KhrR_loading..Mg.ha","X1Khr_loading..Mg.ha","X10KhrS_loading..Mg.ha","X10KhrR_loading..Mg.ha","X10Khr_loading..Mg.ha","GT10KhrS_loading..Mg.ha","GT10KhrR_loading..Mg.ha","cwd_sound_loading..Mg.ha","cwd_rotten_loading..Mg.ha","cwd_loading..Mg.ha","moss_loading..Mg.ha","lichen_loading..Mg.ha","litter_depth..cm","litter_loading..Mg.ha","duff_depth..cm","duff_loading..Mg.ha","NA","coverProp"
"82",32,0,4935237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000549657372177869,0.000549657372177869
"83",22,1,75677540,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.0084285147337981,0.0084285147337981
"84",23,0,41678993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046419585862644,0.0046419585862644
"85",24,0,15472562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172324201852498,0.00172324201852498
"86",25,0,213289792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237549496778137,0.0237549496778137
"87",668,123,44522876,0,0,0,0,119,119,123,0,123,121,121,121,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,116,0,116,0.00495869337662226,0.00495869337662226
"88",652,363,18328806,0,0,0,11,314,315,346,0,349,317,317,317,0,0,0,1,0,0,0,0,0,4,4,322,2,0,15,330,15,328,0.00204135350361451,0.00204135350361451
"89",682,415,176321143,0,0,0,3,387,387,402,0,404,408,408,408,0,7,7,10,1,1,0,1,1,0,0,391,0,0,3,403,8,396,0.0196376012176879,0.0196376012176879
"90",660,1135,175615952,0,0,0,0,1000,1000,1024,0,1024,1110,1110,1111,6,34,57,25,8,8,0,8,8,12,12,1000,0,0,2,1086,11,1004,0.0195590612343105,0.0195590612343105
"91",661,238,100358731,0,0,0,0,189,189,200,0,189,231,231,231,6,23,4,0,2,2,0,2,2,15,15,189,0,0,0,236,0,196,0.0111773591332221,0.0111773591332221
"92",667,147,20397907,0,0,0,0,120,120,120,0,120,146,146,146,0,0,0,27,0,0,0,0,0,0,0,120,0,0,0,145,0,145,0.00227179767852051,0.00227179767852051
"93",658,10,47391375,0,0,0,0,2,2,10,0,10,10,10,10,0,8,8,0,0,0,0,0,0,0,0,2,0,0,0,10,0,2,0.00527816975079331,0.00527816975079331
"94",662,355,75618211,0,0,0,0,352,352,355,0,355,350,350,350,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0,353,0,353,0.00842190702230746,0.00842190702230746
"95",681,1,3322895,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.000370084300657289,0.000370084300657289
