EVT_Fuel,EVT_Fuel_N,FCCSID,Fuelbed Name,,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_GP,EVT_GP_N,EVT_PHYS
2113,Tr California Coastal Live Oak Woodland and Savanna,36,California live oak-blue oak woodland,,2113,Tr California Coastal Live Oak Woodland and Savanna,Tree,629,Western Oak Woodland and Savanna,Hardwood
2114,Tr California Lower Montane Foothill Pine Woodland and Savanna,36,California live oak-blue oak woodland,,2114,Tr California Lower Montane Foothill Pine Woodland and Savanna,Tree,610,Conifer-Oak Forest and Woodland,Conifer
2115,Tr Inter-Mountain Basins Juniper Savanna,210,Pinyon-Utah juniper forest,,2115,Tr Inter-Mountain Basins Juniper Savanna,Tree,620,Juniper Woodland and Savanna,Conifer
2116,Tr Madrean Juniper Savanna,210,Pinyon-Utah juniper forest,,2116,Tr Madrean Juniper Savanna,Tree,620,Juniper Woodland and Savanna,Conifer
2117,Tr Southern Rocky Mountain Ponderosa Pine Savanna,28,Ponderosa pine savanna,,2117,Tr Southern Rocky Mountain Ponderosa Pine Savanna,Tree,631,"Ponderosa Pine Forest, Woodland and Savanna",Conifer
2118,Tr Southern California Oak Woodland and Savanna,14,California black oak woodland,,2118,Tr Southern California Oak Woodland and Savanna,Tree,629,Western Oak Woodland and Savanna,Hardwood
2119,Tr Southern Rocky Mountain Juniper Woodland and Savanna,210,Pinyon-Utah juniper forest,,2119,Tr Southern Rocky Mountain Juniper Woodland and Savanna,Tree,620,Juniper Woodland and Savanna,Conifer
2120,Tr Willamette Valley Upland Prairie and Savanna,6,Oregon white oak-Douglas-fir forest,,2120,Tr Willamette Valley Upland Prairie and Savanna,Tree,629,Western Oak Woodland and Savanna,Hardwood
2121,Sh Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,236,Tobosa-grama grassland,,2121,Sh Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,Herb,618,Grassland and Steppe,Grassland
2121,Sh Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,236,Tobosa-grama grassland,,2121,Sh Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,Shrub,618,Grassland and Steppe,Shrubland
2122,Sh Chihuahuan Gypsophilous Grassland and Steppe,353,Honey mesquite/black grama steppe grassland,,2122,Sh Chihuahuan Gypsophilous Grassland and Steppe,Shrub,618,Grassland and Steppe,Shrubland
2123,He Columbia Plateau Steppe and Grassland,66,Bluebunch wheatgrass-bluegrass grassland,,2123,He Columbia Plateau Steppe and Grassland,Herb,618,Grassland and Steppe,Shrubland
2124,Sh Columbia Plateau Low Sagebrush Steppe,308,Low sagebrush shrubland,,2124,Sh Columbia Plateau Low Sagebrush Steppe,Shrub,623,Low Sagebrush Shrubland and Steppe,Shrubland
2125,Sh Inter-Mountain Basins Big Sagebrush Steppe,56,Sagebrush shrubland - exotic species,,2125,Sh Inter-Mountain Basins Big Sagebrush Steppe,Shrub,604,Big Sagebrush Shrubland and Steppe,Shrubland
2126,Sh Inter-Mountain Basins Montane Sagebrush Steppe,232,Mesquite savanna,,2126,Sh Inter-Mountain Basins Montane Sagebrush Steppe,Shrub,604,Big Sagebrush Shrubland and Steppe,Shrubland
2127,Sh Inter-Mountain Basins Semi-Desert Shrub-Steppe,311,Saltbrush shrubland,,2127,Sh Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrub,613,Desert Scrub,Shrubland
2128,Sh Northern California Coastal Scrub,316,Coyotebush-ceanothus shrubland,,2128,Sh Northern California Coastal Scrub,Shrub,609,Pacific Coastal Scrub,Shrubland
2129,He California Central Valley and Southern Coastal Grassland,57,Wheatgrass-cheatgrass grassland - exotic species,,2129,He California Central Valley and Southern Coastal Grassland,Herb,617,Grassland,Grassland
