EVT_Fuel,EVT_Fuel_N,FCCSID,Fuelbed Name,,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_GP,EVT_GP_N,EVT_PHYS
2934,Dtc Undeveloped Ruderal Evergreen Forest,24,Pacific ponderosa pine-Douglas-fir forest (WCT),,2934,Dtc Undeveloped Ruderal Evergreen Forest,Tree,14,Developed-Upland Evergreen Forest,Developed
2934,Dtc Undeveloped Ruderal Evergreen Forest,27,Ponderosa pine-two needle pinyon-Utah juniper forest (WWT),,2934,Dtc Undeveloped Ruderal Evergreen Forest,Tree,14,Developed-Upland Evergreen Forest,Developed
2934,Dtc Undeveloped Ruderal Evergreen Forest,241,Longleaf-loblolly pine forest with hurricane damage (EWT),,2934,Dtc Undeveloped Ruderal Evergreen Forest,Tree,14,Developed-Upland Evergreen Forest,Developed
2934,Dtc Undeveloped Ruderal Evergreen Forest,242,Longleaf-loblolly pine forest with hurricane damage - post prescribed burn (EWT),,2934,Dtc Undeveloped Ruderal Evergreen Forest,Tree,14,Developed-Upland Evergreen Forest,Developed
2934,Dtc Undeveloped Ruderal Evergreen Forest,279,Black spruce-northern white cedar-larch forest (ECT),,2934,Dtc Undeveloped Ruderal Evergreen Forest,Tree,14,Developed-Upland Evergreen Forest,Developed
2935,Dtm Undeveloped Ruderal Deciduous-Evergreen Forest,109,Eastern white pine-northern red oak-red maple forest (ECT),,2935,Dtm Undeveloped Ruderal Deciduous-Evergreen Forest,Tree,15,Developed-Upland Mixed Forest,Developed
2935,Dtm Undeveloped Ruderal Deciduous-Evergreen Forest,185,Longleaf pine/turkey oak forest 1-2 yr postfire (EWT),,2935,Dtm Undeveloped Ruderal Deciduous-Evergreen Forest,Tree,15,Developed-Upland Mixed Forest,Developed
2935,Dtm Undeveloped Ruderal Deciduous-Evergreen Forest,174,Live oak-sabal palm forest (EWT),,2935,Dtm Undeveloped Ruderal Deciduous-Evergreen Forest,Tree,15,Developed-Upland Mixed Forest,Developed
2936,Dsh Undeveloped Ruderal Shrubland,115,Rhododendron-blueberry-mountain laurel shrubland (ECT),,2936,Dsh Undeveloped Ruderal Shrubland,Shrub,17,Developed-Upland Shrubland,Developed
2936,Dsh Undeveloped Ruderal Shrubland,233,Sagebrush shrubland - fire exclusion (WCT),,2936,Dsh Undeveloped Ruderal Shrubland,Shrub,17,Developed-Upland Shrubland,Developed
2936,Dsh Undeveloped Ruderal Shrubland,240,Saw palmetto/three-awned grass shrubland (EWT),,2936,Dsh Undeveloped Ruderal Shrubland,Shrub,17,Developed-Upland Shrubland,Developed
2936,Dsh Undeveloped Ruderal Shrubland,307,Paloverde shrubland (WWT),,2936,Dsh Undeveloped Ruderal Shrubland,Shrub,17,Developed-Upland Shrubland,Developed
2937,Dgr Undeveloped Ruderal Grassland,66,Bluebunch wheatgrass-bluegrass grassland (WCT),,2937,Dgr Undeveloped Ruderal Grassland,Herb,16,Developed-Upland Herbaceous,Developed
2937,Dgr Undeveloped Ruderal Grassland,66,Bluebunch wheatgrass-bluegrass grassland (WWT),,2937,Dgr Undeveloped Ruderal Grassland,Herb,16,Developed-Upland Herbaceous,Developed
2937,Dgr Undeveloped Ruderal Grassland,435,Little bluestem-buffalograss grassland (ECT),,2937,Dgr Undeveloped Ruderal Grassland,Herb,16,Developed-Upland Herbaceous,Developed
2937,Dgr Undeveloped Ruderal Grassland,415,Bluestem-forb grassland (ECT),,2937,Dgr Undeveloped Ruderal Grassland,Herb,16,Developed-Upland Herbaceous,Developed
2960,Dab Orchard,1273,Tree fruit field - with no inter-row groundcover,,2960,Dab Orchard,Tree,60,Agricultural-Orchard,Agricultural
2961,Da Vineyard,1273,Tree fruit field - with no inter-row groundcover,,2961,Da Vineyard,Agriculture,61,Agricultural-Vineyard,Agricultural
2962,Dab Bush Fruit and Berries,1247,Miscellaneous vegetable or fruit field - post harvest,,2962,Dab Bush Fruit and Berries,Shrub,62,Agricultural-Bush fruit and berries,Agricultural
2962,Dab Bush Fruit and Berries,1247,Miscellaneous vegetable or fruit field - post harvest,,2962,Dab Bush Fruit and Berries,Shrub,62,Agricultural-Bush fruit and berries,Agricultural
2963,Da Row Crop - Close Grown Crop,1244,Other crop field - post harvest,,2963,Da Row Crop - Close Grown Crop,Agriculture,63,Agricultural-Row Crop-Close Grown Crop,Agricultural
2963,Da Row Crop - Close Grown Crop,1230,Other crop field - growing season,,2963,Da Row Crop - Close Grown Crop,Agriculture,63,Agricultural-Row Crop-Close Grown Crop,Agricultural
2964,Da Row Crop,1244,Other crop field - post harvest,,2964,Da Row Crop,Agriculture,64,Agricultural-Row Crop,Agricultural
2965,Da Close Grown Crop,1244,Other crop field - post harvest,,2965,Da Close Grown Crop,Agriculture,65,Agricultural-Close Grown Crop,Agricultural
2966,Dab Fallow/Idle Cropland,1261,Fallow field - growing season,,2966,Dab Fallow/Idle Cropland,Herb,66,Agricultural-Fallow/Idle Cropland,Agricultural
2967,Dab Pasture and Hayland,1281,"Pasture, hay, or alfalfa field - grazed or harvested",,2967,Dab Pasture and Hayland,Herb,67,Agricultural-Pasture and Hayland,Agricultural
2967,Dab Pasture and Hayland,1283,"Pasture, hay, or alfalfa field - ungrazed or unharvested",,2967,Dab Pasture and Hayland,Herb,67,Agricultural-Pasture and Hayland,Agricultural
2968,Da Wheat,1223,Wheat field - post harvest,,2968,Da Wheat,Agriculture,68,Agricultural-Wheat,Agricultural
2968,Da Wheat,1224,Wheat field - growing season,,2968,Da Wheat,Agriculture,68,Agricultural-Wheat,Agricultural
2969,Da Aquaculture,1203,Rice field - post harvest,,2969,Da Aquaculture,Agriculture,69,Agricultual-Aquaculture,Agricultural
2969,Da Aquaculture,1208,Rice field - growing season,,2969,Da Aquaculture,Agriculture,69,Agricultual-Aquaculture,Agricultural
9999,Nodata,0,Urban-Barren,,9999,Nodata,Nodata,-9999,Nodata,Nodata
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
